sample_id,phi_prediction,phi_response,oracle_model_to_route
mmlu-high-school-macroeconomics.val.127,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,mistralai/mixtral-8x7b-chat
mmlu-formal-logic.val.82,WizardLM/WizardLM-13B-V1.2,D,claude-instant-v1
hellaswag.val.7968,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.4037,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-global-facts.val.6,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.1409,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,mistralai/mistral-7b-chat
mmlu-high-school-microeconomics.val.133,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.3926,claude-v2,claude-v2,WizardLM/WizardLM-13B-V1.2
mmlu-moral-scenarios.val.389,claude-v1,"B) Not wrong, Wrong",WizardLM/WizardLM-13B-V1.2
hellaswag.val.3378,claude-v1,claude-v1,zero-one-ai/Yi-34B-Chat
winogrande.dev.647,claude-v1,claude-v1,WizardLM/WizardLM-13B-V1.2
mmlu-security-studies.val.180,meta/code-llama-instruct-34b-chat,B) All of these options,mistralai/mixtral-8x7b-chat
arc-challenge.test.959,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,mistralai/mistral-7b-chat
mmlu-professional-law.val.558,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,gpt-4-1106-preview
mmlu-high-school-psychology.val.109,gpt-4-1106-preview,D,mistralai/mixtral-8x7b-chat
grade-school-math.dev.5826,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-high-school-psychology.val.206,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.763,claude-v1,C) authenticating witness,WizardLM/WizardLM-13B-V1.2
hellaswag.val.6880,claude-v1,"A) [title] Decorate the rooms with fun things to include (or a video game to play), colorful balloons, silly people writing random things to remember, and maybe some chocolate chip boosters.",zero-one-ai/Yi-34B-Chat
hellaswag.val.6222,claude-v2,claude-v2,zero-one-ai/Yi-34B-Chat
mmlu-high-school-microeconomics.val.49,WizardLM/WizardLM-13B-V1.2,A),mistralai/mistral-7b-chat
